@relation 'rad-nor-weka.filters.unsupervised.attribute.Remove-V-R250,398,334,366,335,314,399,367,252,220,435,411,436,358,356,432,340,283,438,301,342,406,374,318,390,388,422,420,414,382,350,373,405,341,372,309,317,236,157,379,404,86,223,361,263,1'

@attribute third_sg13 numeric
@attribute punct_freq_dist_words1 numeric
@attribute punct_freq_dist_puncts1 numeric
@attribute punct_freq_dist_chars1 numeric
@attribute punct_freq_dist_puncts2 numeric
@attribute char_freq_distH numeric
@attribute punct_freq_dist_words2 numeric
@attribute punct_freq_dist_chars2 numeric
@attribute third_sg15 numeric
@attribute first_sg1 numeric
@attribute funct_words numeric
@attribute punct_freq_dist_words14 numeric
@attribute det_n numeric
@attribute punct_freq_dist_puncts25 numeric
@attribute punct_freq_dist_puncts23 numeric
@attribute lower_needs numeric
@attribute punct_freq_dist_puncts7 numeric
@attribute char_freq_distc numeric
@attribute comps numeric
@attribute char_freq_distu numeric
@attribute punct_freq_dist_puncts9 numeric
@attribute punct_freq_dist_words9 numeric
@attribute punct_freq_dist_chars9 numeric
@attribute char_freq_distL numeric
@attribute punct_freq_dist_chars25 numeric
@attribute punct_freq_dist_chars23 numeric
@attribute punct_freq_dist_words25 numeric
@attribute punct_freq_dist_words23 numeric
@attribute punct_freq_dist_words17 numeric
@attribute punct_freq_dist_chars17 numeric
@attribute punct_freq_dist_puncts17 numeric
@attribute punct_freq_dist_chars8 numeric
@attribute punct_freq_dist_words8 numeric
@attribute punct_freq_dist_puncts8 numeric
@attribute punct_freq_dist_chars7 numeric
@attribute char_freq_distC numeric
@attribute char_freq_distK numeric
@attribute first_pl9 numeric
@attribute av_word_len numeric
@attribute punct_freq_dist_chars14 numeric
@attribute punct_freq_dist_words7 numeric
@attribute sent_len_dist_chars80 numeric
@attribute first_sg4 numeric
@attribute punct_freq_dist_puncts28 numeric
@attribute third_pl8 numeric
@attribute class {nor,rad}

@data
0.003727,0,0,0,0.074074,0.043712,0.012422,0.002556,0.003727,0.080745,41.06383,0.055901,6.595745,0.007407,0.007407,0.001015,0,0.000256,0.531915,0.000511,0.02963,0.004969,0.001022,0.042434,0.000256,0.000256,0.001242,0.001242,0.004969,0.001022,0.02963,0.001022,0.004969,0.02963,0,0.022495,0.006646,0,4.859627,0.011503,0,0,0,0,0,nor
0.004342,0,0,0,0.219512,0.053161,0.052098,0.011324,0,0.104197,33.684211,0.052098,6.549708,0,0,0.001015,0.006098,0.002831,0.116959,0.000315,0.128049,0.030391,0.006606,0.044354,0,0,0,0,0.001447,0.000315,0.006098,0.00692,0.031838,0.134146,0.000315,0.016986,0.005033,0,4.600579,0.011324,0.001447,0.027027,0,0.006098,0,nor
0.003123,0,0,0,0.057851,0.073362,0.007288,0.001612,0.000521,0.15721,43.227,0.038522,7.76699,0,0,0.003459,0.041322,0.000576,0.369857,0.000691,0.03719,0.004685,0.001037,0.037199,0,0,0,0,0.002603,0.000576,0.020661,0.001037,0.004685,0.03719,0.001152,0.022918,0.008638,0,4.520042,0.008522,0.005206,0,0,0,0,nor
0.001067,0,0,0,0.211921,0.042143,0.034152,0.006777,0,0.080043,36.029412,0.054429,9.099265,0,0,0.002491,0.02649,0.001694,0.367647,0.000212,0.006623,0.001067,0.000212,0.033037,0,0,0,0,0,0,0,0.000212,0.001067,0.006623,0.000847,0.027742,0.004024,0.001067,5.039488,0.010801,0.004269,0.021277,0.002134,0,0,nor
0,0,0,0,0.052632,0.045315,0.005917,0.001225,0,0.085799,32.712766,0.044379,10.638298,0,0,0.000231,0.026316,0.001837,0.531915,0.000612,0.026316,0.002959,0.000612,0.039192,0,0,0,0,0,0,0,0.000612,0.002959,0.026316,0.000612,0.044091,0.006736,0.002959,4.831361,0.009186,0.002959,0,0,0,0,nor
0.003344,0,0,0,0.283186,0.048521,0.053512,0.010635,0.003344,0.103679,33.333333,0.058528,7.735584,0,0,0.000369,0,0.002659,1.125176,0.000665,0,0,0,0.036889,0,0,0,0,0,0,0,0,0,0,0,0.032569,0.009638,0,5.031773,0.011632,0,0.03125,0.001672,0,0,nor
0,0.009524,0.061224,0.001904,0.44898,0.049492,0.069841,0.013959,0,0.085714,35.714286,0.047619,9.340659,0,0,0.000461,0,0.001904,0.824176,0.000635,0,0,0,0.031726,0,0,0,0,0,0,0,0,0,0,0,0.034264,0.014594,0,5.003175,0.009518,0,0,0,0,0,nor
0.002755,0.002755,0.019608,0.000591,0.196078,0.054341,0.027548,0.005907,0,0.129477,40.821256,0.033058,9.42029,0,0,0.000692,0.078431,0.002363,0.483092,0.002363,0,0,0,0.032487,0,0,0,0,0,0,0,0,0,0,0.002363,0.023627,0.009451,0,4.663912,0.007088,0.011019,0,0,0,0.002755,nor
0.006993,0.001748,0.019608,0.00034,0.039216,0.040518,0.003497,0.000681,0.005245,0.122378,37.720706,0.02972,8.025682,0,0,0.001015,0.019608,0.000681,0.642055,0.001702,0,0,0,0.027239,0,0,0,0,0,0,0,0,0,0,0.00034,0.027239,0.011576,0,5.134615,0.005788,0.001748,0,0,0,0,nor
0,0,0,0,0.21393,0.057059,0.04107,0.00902,0,0.122254,39.503205,0.070678,10.897436,0,0,0.001384,0.0199,0.002517,0.240385,0.00021,0,0,0,0.035452,0,0,0,0,0.002865,0.000629,0.014925,0,0,0,0.000839,0.030417,0.00923,0.000955,4.553009,0.015523,0.00382,0,0.000955,0,0,nor
