@relation 'rad-nor-weka.filters.unsupervised.attribute.Remove-V-R86,236,250,252,263,283,301,314,317-318,334-335,340,342,350,356,361,366-367,379,411,432,435-436,438,1'

@attribute sent_len_dist_chars80 numeric
@attribute first_pl9 numeric
@attribute third_sg13 numeric
@attribute third_sg15 numeric
@attribute third_pl8 numeric
@attribute char_freq_distc numeric
@attribute char_freq_distu numeric
@attribute char_freq_distH numeric
@attribute char_freq_distK numeric
@attribute char_freq_distL numeric
@attribute punct_freq_dist_puncts1 numeric
@attribute punct_freq_dist_puncts2 numeric
@attribute punct_freq_dist_puncts7 numeric
@attribute punct_freq_dist_puncts9 numeric
@attribute punct_freq_dist_puncts17 numeric
@attribute punct_freq_dist_puncts23 numeric
@attribute punct_freq_dist_puncts28 numeric
@attribute punct_freq_dist_chars1 numeric
@attribute punct_freq_dist_chars2 numeric
@attribute punct_freq_dist_chars14 numeric
@attribute punct_freq_dist_words14 numeric
@attribute lower_needs numeric
@attribute funct_words numeric
@attribute det_n numeric
@attribute comps numeric
@attribute class {nor,rad}

@data
0,0,0.009363,0.005618,0,0,0,0.06898,0.00557,0.048843,0,0.037037,0.037037,0.018519,0,0,0,0,0.000857,0.007712,0.033708,0.000692,47.108844,13.945578,0.170068,rad
0,0,0.008874,0.014334,0,0.000959,0,0.079629,0.004957,0.063799,0.007407,0.074074,0.118519,0.062963,0.022222,0.051852,0,0.00032,0.003198,0.011193,0.047782,0.001291,42.363112,9.567723,0.115274,rad
0.009259,0.002408,0.005299,0.00289,0,0,0,0.051153,0.007105,0.040223,0.004065,0.02439,0.03252,0.004065,0.012195,0,0,0.000109,0.000656,0.010821,0.047688,0.003828,44.918174,7.96727,0.430663,rad
0.011696,0,0.010502,0.008635,0,0.000802,0.000501,0.062118,0.004358,0.041479,0.006163,0.212635,0.135593,0.010786,0.001541,0.027735,0,0.0002,0.006913,0.008516,0.039673,0.006365,41.366032,9.76895,0.24321,rad
0,0,0.003101,0.003101,0,0,0.000352,0.074322,0.004227,0.042268,0,0.141176,0.058824,0.035294,0.011765,0,0,0,0.004227,0.009863,0.043411,0.000415,38.767123,8.219178,0.136986,rad
0,0,0.003861,0,0,0.004466,0.002842,0.054811,0.00609,0.039383,0.011628,0.023256,0.011628,0.011628,0,0,0,0.000406,0.000812,0.014616,0.069498,0.001153,36.092715,9.933775,0.165563,rad
0.021127,0,0.003283,0.002872,0,0.000605,0.000259,0.047808,0.005274,0.042967,0.011173,0.145251,0,0.005587,0.005587,0,0,0.000346,0.004496,0.011585,0.054986,0.007518,40.751342,9.159213,0.250447,rad
0.009756,0,0.006306,0.002102,0,0.000671,0.000549,0.043749,0.002807,0.040515,0.002137,0.038462,0.002137,0.008547,0.059829,0,0,0.000061,0.001098,0.012447,0.061261,0.008256,41.02159,10.4792,0.289626,rad
0,0,0.007157,0.008458,0,0.000152,0.000456,0.068876,0.00821,0.038163,0.006711,0.040268,0.006711,0,0,0.033557,0.006711,0.000152,0.000912,0.01186,0.050748,0.001891,44.60261,8.778173,0,rad
0,0,0.001842,0.005525,0,0,0,0.067034,0.010182,0.03776,0,0,0.054545,0.018182,0.036364,0,0.036364,0,0,0.012304,0.053407,0.0006,45.150502,9.364548,0.167224,rad
0,0,0.002053,0,0,0,0,0.057657,0.007841,0.043358,0.035088,0.105263,0,0,0,0,0.017544,0.000923,0.002768,0.013376,0.059548,0.000415,42.463235,7.536765,0,rad
0.009174,0,0.008371,0.003837,0,0.003268,0.000695,0.047831,0.008621,0.041435,0.012658,0.113924,0.025316,0.018987,0.03481,0.015823,0.015823,0.000278,0.002503,0.007161,0.035926,0.004428,40.433553,11.05875,0.282752,rad
0.007519,0,0.007992,0.018304,0,0.000057,0.00017,0.063248,0.005729,0.045947,0,0.134409,0.002688,0.045699,0.018817,0.005376,0.002688,0,0.002836,0.007317,0.033256,0.009593,50.952717,10.397554,0.141143,rad
0,0,0.008219,0.006849,0,0.000847,0.000282,0.05728,0.003668,0.044582,0,0,0.01,0.01,0.01,0.03,0,0,0,0.008465,0.041096,0.001291,42.650602,11.686747,0.120482,rad
0,0.000536,0.011784,0.009641,0,0.000458,0,0.056141,0.005156,0.042163,0,0.01005,0.01005,0.005025,0.055276,0.015075,0,0,0.000229,0.006645,0.031066,0.004243,46.999032,9.438529,0.435624,rad
